Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,Total GHG emissions including LULUCF/LUCF,2.F Consumption of Halocarbons and SF₆,Aggregate F-gases,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,2.F Consumption of Halocarbons and SF₆,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,2.F Consumption of Halocarbons and SF₆,HFCs,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,12208.0,,,,,,6534.62,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4. Agriculture,CH₄,Gg,,,,,168.0,,,,,,184.22,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4. Agriculture,N₂O,Gg,,,,,28.0,,,,,,8.6,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.A Enteric Fermentation,Aggregate GHGs,Gg CO₂ equivalent,,,,,3339.0,,,,,,3864.63,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.A Enteric Fermentation,CH₄,Gg,,,,,159.0,,,,,,184.03,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.B Manure Management,Aggregate GHGs,Gg CO₂ equivalent,,,,,1098.0,,,,,,1949.9,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.B Manure Management,CH₄,Gg,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.B Manure Management,N₂O,Gg,,,,,3.0,,,,,,6.29,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.D Agricultural Soils,Aggregate GHGs,Gg CO₂ equivalent,,,,,7750.0,,,,,,716.1,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.D Agricultural Soils,N₂O,Gg,,,,,25.0,,,,,,2.31,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.F Field Burning of Agricultural Residues,Aggregate GHGs,Gg CO₂ equivalent,,,,,21.0,,,,,,3.99,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,4.F Field Burning of Agricultural Residues,CH₄,Gg,,,,,1.0,,,,,,0.19,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,8586.0,,,,,,-7879.8,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CH₄,Gg,,,,,21.0,,,,,,11.6,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CO₂,Gg,,,,,7835.0,,,,,,-8148.2,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,N₂O,Gg,,,,,1.0,,,,,,0.08,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.A Changes in Forest and Other Woody Biomass Stocks,Aggregate GHGs,Gg CO₂ equivalent,,,,,-4331.0,,,,,,-14167.36,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.A Changes in Forest and Other Woody Biomass Stocks,CO₂,Gg,,,,,-4331.0,,,,,,-14167.36,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,Aggregate GHGs,Gg CO₂ equivalent,,,,,5474.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,CH₄,Gg,,,,,21.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,CO₂,Gg,,,,,4723.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.B Forest and Grassland Conversion,N₂O,Gg,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.D CO₂ Emissions and Removals from Soil,Aggregate GHGs,Gg CO₂ equivalent,,,,,7443.0,,,,,,6019.16,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.D CO₂ Emissions and Removals from Soil,CO₂,Gg,,,,,7443.0,,,,,,6019.16,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.E Other,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,268.4,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.E Other,CH₄,Gg,,,,,,,,,,,11.6,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,5.E Other,N₂O,Gg,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,4720.0,,,,,,11428.5384,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6. Waste,CH₄,Gg,,,,,210.0,,,,,,381.9104,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6. Waste,CO₂,Gg,,,,,,,,,,,26.32,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6. Waste,N₂O,Gg,,,,,1.0,,,,,,10.91,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,Aggregate GHGs,Gg CO₂ equivalent,,,,,4116.0,,,,,,7542.36,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,CH₄,Gg,,,,,196.0,,,,,,359.16,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,Aggregate GHGs,Gg CO₂ equivalent,,,,,604.0,,,,,,939.6584,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,CH₄,Gg,,,,,14.0,,,,,,22.7504,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,N₂O,Gg,,,,,1.0,,,,,,1.49,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.C Waste Incineration,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,2946.52,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.C Waste Incineration,CO₂,Gg,,,,,,,,,,,26.32,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,6.C Waste Incineration,N₂O,Gg,,,,,,,,,,,9.42,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,CO₂ Emissions from Biomass,Aggregate GHGs,Gg CO₂ equivalent,,,,,246.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,CO₂ Emissions from Biomass,CO₂,Gg,,,,,246.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,International Bunkers,Aggregate GHGs,Gg CO₂ equivalent,,,,,470.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Total GHG emissions including LULUCF/LUCF,International Bunkers,CO₂,Gg,,,,,470.0,,,,,,,,,,,,,,,,,,,,,
Algeria,Totals,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,70061.0,,,,,,87595.6,,,,,,,,,,,,,,,
Algeria,Totals,1. Energy,CH₄,Gg,,,,,515.0,,,,,,1001.32,,,,,,,,,,,,,,,
Algeria,Totals,1. Energy,CO₂,Gg,,,,,59246.0,,,,,,66409.78,,,,,,,,,,,,,,,
Algeria,Totals,1. Energy,N₂O,Gg,,,,,,,,,,,0.51,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,Aggregate F-gases,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,4769.0,,,,,,5463.83,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,CH₄,Gg,,,,,,,,,,,0.27,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,CO₂,Gg,,,,,4459.0,,,,,,5157.16,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,HFCs,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,2. Industrial Processes,N₂O,Gg,,,,,1.0,,,,,,0.95,,,,,,,,,,,,,,,
Algeria,Totals,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,12208.0,,,,,,6534.62,,,,,,,,,,,,,,,
Algeria,Totals,4. Agriculture,CH₄,Gg,,,,,168.0,,,,,,184.22,,,,,,,,,,,,,,,
Algeria,Totals,4. Agriculture,N₂O,Gg,,,,,28.0,,,,,,8.6,,,,,,,,,,,,,,,
Algeria,Totals,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,8586.0,,,,,,-7879.8,,,,,,,,,,,,,,,
Algeria,Totals,5. Land-Use Change and Forestry,CH₄,Gg,,,,,21.0,,,,,,11.6,,,,,,,,,,,,,,,
Algeria,Totals,5. Land-Use Change and Forestry,CO₂,Gg,,,,,7835.0,,,,,,-8148.2,,,,,,,,,,,,,,,
Algeria,Totals,5. Land-Use Change and Forestry,N₂O,Gg,,,,,1.0,,,,,,0.08,,,,,,,,,,,,,,,
Algeria,Totals,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,4720.0,,,,,,11428.5384,,,,,,,,,,,,,,,
Algeria,Totals,6. Waste,CH₄,Gg,,,,,210.0,,,,,,381.9104,,,,,,,,,,,,,,,
Algeria,Totals,6. Waste,CO₂,Gg,,,,,,,,,,,26.32,,,,,,,,,,,,,,,
Algeria,Totals,6. Waste,N₂O,Gg,,,,,1.0,,,,,,10.91,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,Aggregate F-gases,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,91758.0,,,,,,111022.5884,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,CH₄,Gg CO₂ equivalent,,,,,18753.0,,,,,,32922.1284,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,CO₂,Gg CO₂ equivalent,,,,,63705.0,,,,,,71593.26,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,HFCs,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions excluding LULUCF/LUCF,N₂O,Gg CO₂ equivalent,,,,,9300.0,,,,,,6500.7,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,Aggregate F-gases,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,100344.0,,,,,,103142.7884,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,CH₄,Gg,,,,,914.0,,,,,,1579.3204,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,CO₂,Gg,,,,,71540.0,,,,,,63445.06,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,HFCs,Gg CO₂ equivalent,,,,,,,,,,,6.5,,,,,,,,,,,,,,,
Algeria,Totals,Total GHG emissions including LULUCF/LUCF,N₂O,Gg,,,,,31.0,,,,,,21.05,,,,,,,,,,,,,,,
Angola,1. Energy,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,2719.75,,,,,6583.23,,,,,,,,,,
Angola,1. Energy,1.A Fuel Combustion - Sectoral Approach,CH₄,Gg,,,,,,,,,,,0.45,,,,,2.73,,,,,,,,,,
Angola,1. Energy,1.A Fuel Combustion - Sectoral Approach,CO₂,Gg,,,,,,,,,,,2701.0,,,,,6498.0,,,,,,,,,,
Angola,1. Energy,1.A Fuel Combustion - Sectoral Approach,N₂O,Gg,,,,,,,,,,,0.03,,,,,0.09,,,,,,,,,,
Angola,1. Energy,1.B Fugitive Emissions from Fuels,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,19923.98,,,,,31148.83,,,,,,,,,,
Angola,1. Energy,1.B Fugitive Emissions from Fuels,CH₄,Gg,,,,,,,,,,,310.38,,,,,485.23,,,,,,,,,,
Angola,1. Energy,1.B Fugitive Emissions from Fuels,CO₂,Gg,,,,,,,,,,,13406.0,,,,,20959.0,,,,,,,,,,
Angola,6. Waste,6.A Solid Waste Disposal on Land,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,488.46,,,,,751.38,,,,,,,,,,
Angola,6. Waste,6.A Solid Waste Disposal on Land,CH₄,Gg,,,,,,,,,,,23.26,,,,,35.78,,,,,,,,,,
Angola,6. Waste,6.B Wastewater Handling,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,155.89,,,,,199.92,,,,,,,,,,
Angola,6. Waste,6.B Wastewater Handling,CH₄,Gg,,,,,,,,,,,0.19,,,,,0.22,,,,,,,,,,
Angola,6. Waste,6.B Wastewater Handling,N₂O,Gg,,,,,,,,,,,0.49,,,,,0.63,,,,,,,,,,
Angola,International Bunkers,Marine,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,International Bunkers,Marine,CO₂,Gg,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Memo Items,CO₂ Emissions from Biomass,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,1007.0,,,,,,,,,,
Angola,Memo Items,CO₂ Emissions from Biomass,CO₂,Gg,,,,,,,,,,,,,,,,1007.0,,,,,,,,,,
Angola,Memo Items,International Bunkers,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Memo Items,International Bunkers,CO₂,Gg,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Memo Items,Marine,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Memo Items,Marine,CO₂,Gg,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22643.73,,,,,37732.06,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,1. Energy,CH₄,Gg,,,,,,,,,,,310.83,,,,,487.96,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,1. Energy,N₂O,Gg,,,,,,,,,,,0.03,,,,,0.09,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,210.0,,,,,352.0,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22690.85,,,,,22575.4,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,CH₄,Gg,,,,,,,,,,,424.35,,,,,425.2,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,N₂O,Gg,,,,,,,,,,,44.45,,,,,44.02,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,644.35,,,,,951.3,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,6. Waste,CH₄,Gg,,,,,,,,,,,23.45,,,,,36.0,,,,,,,,,,
Angola,Total GHG emissions excluding LULUCF/LUCF,6. Waste,N₂O,Gg,,,,,,,,,,,0.49,,,,,0.63,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22643.73,,,,,37732.06,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1. Energy,CH₄,Gg,,,,,,,,,,,310.83,,,,,487.96,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1. Energy,CO₂,Gg,,,,,,,,,,,16107.0,,,,,27457.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1. Energy,N₂O,Gg,,,,,,,,,,,0.03,,,,,0.09,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,2719.75,,,,,6583.23,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,CH₄,Gg,,,,,,,,,,,0.45,,,,,2.73,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,CO₂,Gg,,,,,,,,,,,2701.0,,,,,6498.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,N₂O,Gg,,,,,,,,,,,0.03,,,,,0.09,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.B Fugitive Emissions from Fuels,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,19923.98,,,,,31148.83,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.B Fugitive Emissions from Fuels,CH₄,Gg,,,,,,,,,,,310.38,,,,,485.23,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,1.B Fugitive Emissions from Fuels,CO₂,Gg,,,,,,,,,,,13406.0,,,,,20959.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,210.0,,,,,352.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,2. Industrial Processes,CO₂,Gg,,,,,,,,,,,210.0,,,,,352.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22690.85,,,,,22575.4,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,4. Agriculture,CH₄,Gg,,,,,,,,,,,424.35,,,,,425.2,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,4. Agriculture,N₂O,Gg,,,,,,,,,,,44.45,,,,,44.02,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,-3048.43,,,,,1907.57,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CH₄,Gg,,,,,,,,,,,1.07,,,,,10.77,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,CO₂,Gg,,,,,,,,,,,-3074.0,,,,,1452.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,5. Land-Use Change and Forestry,N₂O,Gg,,,,,,,,,,,0.01,,,,,0.74,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,644.35,,,,,951.3,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6. Waste,CH₄,Gg,,,,,,,,,,,23.45,,,,,36.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6. Waste,N₂O,Gg,,,,,,,,,,,0.49,,,,,0.63,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,488.46,,,,,751.38,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6.A Solid Waste Disposal on Land,CH₄,Gg,,,,,,,,,,,23.26,,,,,35.78,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,155.89,,,,,199.92,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,CH₄,Gg,,,,,,,,,,,0.19,,,,,0.22,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,6.B Wastewater Handling,N₂O,Gg,,,,,,,,,,,0.49,,,,,0.63,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,CO₂ Emissions from Biomass,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,1007.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,CO₂ Emissions from Biomass,CO₂,Gg,,,,,,,,,,,,,,,,1007.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,International Bunkers,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Total GHG emissions including LULUCF/LUCF,International Bunkers,CO₂,Gg,,,,,,,,,,,,,,,,348.0,,,,,,,,,,
Angola,Totals,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22643.73,,,,,37732.06,,,,,,,,,,
Angola,Totals,1. Energy,CH₄,Gg,,,,,,,,,,,310.83,,,,,487.96,,,,,,,,,,
Angola,Totals,1. Energy,CO₂,Gg,,,,,,,,,,,16107.0,,,,,27457.0,,,,,,,,,,
Angola,Totals,1. Energy,N₂O,Gg,,,,,,,,,,,0.03,,,,,0.09,,,,,,,,,,
Angola,Totals,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,210.0,,,,,352.0,,,,,,,,,,
Angola,Totals,2. Industrial Processes,CO₂,Gg,,,,,,,,,,,210.0,,,,,352.0,,,,,,,,,,
Angola,Totals,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,22690.85,,,,,22575.4,,,,,,,,,,
Angola,Totals,4. Agriculture,CH₄,Gg,,,,,,,,,,,424.35,,,,,425.2,,,,,,,,,,
Angola,Totals,4. Agriculture,N₂O,Gg,,,,,,,,,,,44.45,,,,,44.02,,,,,,,,,,
Angola,Totals,5. Land-Use Change and Forestry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,-3048.43,,,,,1907.57,,,,,,,,,,
Angola,Totals,5. Land-Use Change and Forestry,CH₄,Gg,,,,,,,,,,,1.07,,,,,10.77,,,,,,,,,,
Angola,Totals,5. Land-Use Change and Forestry,CO₂,Gg,,,,,,,,,,,-3074.0,,,,,1452.0,,,,,,,,,,
Angola,Totals,5. Land-Use Change and Forestry,N₂O,Gg,,,,,,,,,,,0.01,,,,,0.74,,,,,,,,,,
Angola,Totals,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,644.35,,,,,951.3,,,,,,,,,,
Angola,Totals,6. Waste,CH₄,Gg,,,,,,,,,,,23.45,,,,,36.0,,,,,,,,,,
Angola,Totals,6. Waste,N₂O,Gg,,,,,,,,,,,0.49,,,,,0.63,,,,,,,,,,
Angola,Totals,Total GHG emissions excluding LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,46188.93,,,,,61610.76,,,,,,,,,,
Angola,Totals,Total GHG emissions excluding LULUCF/LUCF,CH₄,Gg CO₂ equivalent,,,,,,,,,,,15931.23,,,,,19932.36,,,,,,,,,,
Angola,Totals,Total GHG emissions excluding LULUCF/LUCF,CO₂,Gg CO₂ equivalent,,,,,,,,,,,16317.0,,,,,27809.0,,,,,,,,,,
Angola,Totals,Total GHG emissions excluding LULUCF/LUCF,N₂O,Gg CO₂ equivalent,,,,,,,,,,,13940.7,,,,,13869.4,,,,,,,,,,
Angola,Totals,Total GHG emissions including LULUCF/LUCF,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,43140.5,,,,,63518.33,,,,,,,,,,
Angola,Totals,Total GHG emissions including LULUCF/LUCF,CH₄,Gg,,,,,,,,,,,759.7,,,,,959.93,,,,,,,,,,
Angola,Totals,Total GHG emissions including LULUCF/LUCF,CO₂,Gg,,,,,,,,,,,13243.0,,,,,29261.0,,,,,,,,,,
Angola,Totals,Total GHG emissions including LULUCF/LUCF,N₂O,Gg,,,,,,,,,,,44.98,,,,,45.48,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO₂ equivalent,288.98,,,,,,,,,,372.72,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A Fuel Combustion - Sectoral Approach,CH₄,Gg,0.04,,,,,,,,,,0.04,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A Fuel Combustion - Sectoral Approach,CO₂,Gg,288.14,,,,,,,,,,371.88,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.1 Energy Industries,Aggregate GHGs,Gg CO₂ equivalent,173.49,,,,,,,,,,177.21,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.1 Energy Industries,CH₄,Gg,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.1 Energy Industries,CO₂,Gg,173.49,,,,,,,,,,177.0,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.3 Transport,Aggregate GHGs,Gg CO₂ equivalent,83.67,,,,,,,,,,182.63,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.3 Transport,CH₄,Gg,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.3 Transport,CO₂,Gg,83.67,,,,,,,,,,182.0,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.4 Other Sectors,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,12.88,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.4 Other Sectors,CO₂,Gg,,,,,,,,,,,12.88,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.5 Other (Not elsewhere specified),Aggregate GHGs,Gg CO₂ equivalent,31.82,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.5 Other (Not elsewhere specified),CH₄,Gg,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1. Energy,1.A.5 Other (Not elsewhere specified),CO₂,Gg,30.98,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.A Fuel Combustion - Sectoral Approach,1.A.1 Energy Industries,Aggregate GHGs,Gg CO₂ equivalent,173.49,,,,,,,,,,177.21,,,,,,,,,,,,,,,
