Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,1.B Fugitive Emissions from Fuels,1.B.1 Solid Fuels,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,42.9303,,,,,,,,,,
Afghanistan,1.B Fugitive Emissions from Fuels,1.B.1 Solid Fuels,CH₄,Gg,,,,,,,,,,,,,,,,2.0443,,,,,,,,,,
Afghanistan,2. Industrial Processes,2.A Mineral Products,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,312.13,,,,,,,,,,
Afghanistan,2. Industrial Processes,2.A Mineral Products,CO₂,Gg,,,,,,,,,,,,,,,,312.13,,,,,,,,,,
Afghanistan,2. Industrial Processes,2.B Chemical Industry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,0.0254,,,,,,,,,,
Afghanistan,2. Industrial Processes,2.B Chemical Industry,CO₂,Gg,,,,,,,,,,,,,,,,0.0254,,,,,,,,,,
Afghanistan,4. Agriculture,4.A Enteric Fermentation,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,6489.63,,,,,,,,,,
Afghanistan,4. Agriculture,4.A Enteric Fermentation,CH₄,Gg,,,,,,,,,,,,,,,,309.03,,,,,,,,,,
Afghanistan,4. Agriculture,4.B Manure Management,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,2091.39,,,,,,,,,,
Afghanistan,4. Agriculture,4.B Manure Management,CH₄,Gg,,,,,,,,,,,,,,,,99.59,,,,,,,,,,
Afghanistan,4. Agriculture,4.C Rice Cultivation,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,504.0,,,,,,,,,,
Afghanistan,4. Agriculture,4.C Rice Cultivation,CH₄,Gg,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
Afghanistan,4. Agriculture,4.D Agricultural Soils,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,5806.3,,,,,,,,,,
Afghanistan,4. Agriculture,4.D Agricultural Soils,N₂O,Gg,,,,,,,,,,,,,,,,18.73,,,,,,,,,,
Afghanistan,4. Agriculture,4.F Field Burning of Agricultural Residues,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,217.98,,,,,,,,,,
Afghanistan,4. Agriculture,4.F Field Burning of Agricultural Residues,CH₄,Gg,,,,,,,,,,,,,,,,10.07,,,,,,,,,,
Afghanistan,4. Agriculture,4.F Field Burning of Agricultural Residues,N₂O,Gg,,,,,,,,,,,,,,,,0.021,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.A Changes in Forest and Other Woody Biomass Stocks,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,452.25,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.A Changes in Forest and Other Woody Biomass Stocks,CO₂,Gg,,,,,,,,,,,,,,,,452.25,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.B Forest and Grassland Conversion,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,8978.82,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.B Forest and Grassland Conversion,CH₄,Gg,,,,,,,,,,,,,,,,3.84,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.B Forest and Grassland Conversion,CO₂,Gg,,,,,,,,,,,,,,,,8888.88,,,,,,,,,,
Afghanistan,5. Land-Use Change and Forestry,5.B Forest and Grassland Conversion,N₂O,Gg,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
